,Unnamed: 0,gas,material,henry_constant,filename,ok,z_score,comment
961,961,UGFAIRIUMAVXCW-UHFFFAOYSA-N,NIST-MATDB-991daf7313251e7e607e2bab2da57e33,6.40186E+13,10.1016j.micromeso.2012.02.034.Isotherm2,FALSE,8.246211251,has a positive adsorption at 0 pressure.
1560,1560,VNWKTOKETHGBQD-UHFFFAOYSA-N,NIST-MATDB-bbd809480ca8c8d0e4d066e70a9719d1,3662594690,10.1016j.fluid.2014.08.020.Isotherm3,FALSE,15.78999119,"has positive adsorption at a pressure of 0 bars or close to it, incorrect unit conversion on NIST, more points than given in research"
1190,1190,VNWKTOKETHGBQD-UHFFFAOYSA-N,NIST-MATDB-2c9380bddc59f547484ff729eab7d7cb,2593508419,10.1016j.fluid.2014.08.020.Isotherm2,FALSE,11.15847165,"incorrect unit conversion on NIST, uncategorized but likely was simulated"
1191,1191,VNWKTOKETHGBQD-UHFFFAOYSA-N,NIST-MATDB-2c9380bddc59f547484ff729eab7d7cb,2485209296,10.1016j.fluid.2014.08.020.Isotherm1,FALSE,10.68929576,"incorrect unit conversion on NIST, uncategorized and 10.1016j.fluid.2014.08.020.Isotherm2 is likely the simulated experiment while this appears to be the experimental"
1847,1847,HSFWRNGVRCDJHI-UHFFFAOYSA-N,NIST-MATDB-297c8ffe0f482757db45335130e02770,337758554.3,10.1007s11224-012-0120-1.isotherm35,FALSE,5.058808131,"scale of pressure is incorrect, but units match, most of experimental points occur at a very low pressure, adsorption plateaus very early"
1821,1821,HSFWRNGVRCDJHI-UHFFFAOYSA-N,NIST-MATDB-1733c0f5ae26290495f099f06d0dd880,152736920,10.1007s11224-012-0120-1.isotherm36,TRUE,2.145247885,"scale of pressure is incorrect, but units match, most of experimental points occur at a very low pressure, adsorption plateaus very quickly"
1849,1849,HSFWRNGVRCDJHI-UHFFFAOYSA-N,NIST-MATDB-297c8ffe0f482757db45335130e02770,9760917.208,10.1007s11224-012-0120-1.isotherm32,TRUE,0.106214217,"the initial slope when pressure > 0 is very high and then the adsorption plateaus very soon after, the Henry model is a line that is about y=25*x, intersects at single point on the experimental data and is not remotely close to the experimental curve at any other point"
1822,1822,HSFWRNGVRCDJHI-UHFFFAOYSA-N,NIST-MATDB-1733c0f5ae26290495f099f06d0dd880,9610024.351,10.1007s11224-012-0120-1.isotherm34,TRUE,0.108590346,
1848,1848,HSFWRNGVRCDJHI-UHFFFAOYSA-N,NIST-MATDB-297c8ffe0f482757db45335130e02770,9362429.511,10.1007s11224-012-0120-1.isotherm33,TRUE,0.112489255,"the initial slope when pressure > 0 is very high and then the adsorption plateaus very soon after, the Henry model is a line that is about y=25*x, intersects at single point on the experimental data and is not remotely close to the experimental curve at any other point"
1823,1823,HSFWRNGVRCDJHI-UHFFFAOYSA-N,NIST-MATDB-1733c0f5ae26290495f099f06d0dd880,8959582.27,10.1007s11224-012-0120-1.isotherm31,TRUE,0.118832944,"the initial slope when pressure > 0 is very high and then the adsorption plateaus very soon after, the Henry model is a line that is about y=25*x, intersects at single point on the experimental data and is not remotely close to the experimental curve at any other point"
1657,1657,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-121099da5c9e0772a6f7a19e407c83ab,6510716.555,10.1021Jp1033273.Isotherm1,FALSE,7.645151734,"According to the literature, the water saturated at 3.1 kPA, which correctly corresponds to .031 bar as shown on the plot, the henry model follows a line close to y=50*x and does not intersect the experimental plot until approximately 4 bar after it had plateuad. There are more points than there are in the literature."
1559,1559,VNWKTOKETHGBQD-UHFFFAOYSA-N,NIST-MATDB-bbd809480ca8c8d0e4d066e70a9719d1,6428897.91,10.1016j.fluid.2014.08.020.Isotherm4,TRUE,0.049332294,Incorrect conversion of pressure
1800,1800,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-f55cae58cff61d336d8b65bece21175f,5914156.048,10.1002Aic.11362.Isotherm1,FALSE,6.927055201,The water saturated very quickly which is consistent with the literature. Pressure is recorded in units of P/p_0 which is 'the ratio of H20 vapor pressure to saturation pressure of H20 at 298 K.' This conversion could have been done incorrectly
1659,1659,OKKJLVBELUTLKV-UHFFFAOYSA-N,NIST-MATDB-121099da5c9e0772a6f7a19e407c83ab,4965489.846,10.1021Jp1033273.Isotherm2,FALSE,5.658909424,"The literature states that methanol saturated at 16.8 kPa, which is consistent with the plot below. When P > 0, the initial slope is very high, and it plateaus shortly after. There are more points than there are in the literature."
1661,1661,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,NIST-MATDB-121099da5c9e0772a6f7a19e407c83ab,4650222.619,10.1021Jp1033273.Isotherm3,FALSE,5.321064308,The literature states that ethanol saturated at 7.2 kPa which corresponds to 0.072 bar and that is consistent with the plot. There are dips in the plot where the adsorption exhibits a negative slope. This is not present in the plot in the original literature. There are also more points than there are in the literature.
938,938,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-991daf7313251e7e607e2bab2da57e33,4226598.667,10.1002Aic.11362.Isotherm2,FALSE,4.895695282,The water saturated very quickly which is consistent with the literature. Pressure is recorded in units of P/p_0 which is 'the ratio of H20 vapor pressure to saturation pressure of H20 at 298 K.' This conversion could have been done incorrectly
1654,1654,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-121099da5c9e0772a6f7a19e407c83ab,4190418.72,10.1021Jp1033273.Isotherm4,FALSE,4.852144471,There are more points added than are included in the literature. Literature also includes a logaithmic scale. This is a water and methanol equimolar mixture
1660,1660,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,NIST-MATDB-121099da5c9e0772a6f7a19e407c83ab,3994781.727,10.1021Jp1033273.Isotherm7,FALSE,4.541050359,"There are more points than there are in the literature. Almost this entire data set is different from the literature. In the literature, ethanol alone plateus at about 8 mmol/g. That is shown in 10.1021Jp1033273.Isotherm3. In an equimolar mixture of ethanol and water, ethanol plateaus at 5 mmol/g. There is no data from the literature that displays the points that are here. There are also more points than there are in the literature."
1653,1653,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-121099da5c9e0772a6f7a19e407c83ab,2581118.333,10.1021Jp1033273.Isotherm6,TRUE,2.91498468,There is no data from the literature that shows water plateuing near 3.5 mmol/g with Na-Rho-ZMOF.
1658,1658,OKKJLVBELUTLKV-UHFFFAOYSA-N,NIST-MATDB-121099da5c9e0772a6f7a19e407c83ab,2403335.022,10.1021Jp1033273.Isotherm5,TRUE,2.613933648,There are more data points than there are in the literature. This is an equimolar mixture of water and methanol
1588,1588,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-bbd809480ca8c8d0e4d066e70a9719d1,1592480.524,10.1021La702466d.Isotherm3,TRUE,1.724933757,There are more data points than there are in the literature. The trend in the plot fits the trend displayed in the literature. The original literature uses pressure units of P/P_0 which could have been converted incorrectely.
2906,2906,OKKJLVBELUTLKV-UHFFFAOYSA-N,NIST-MATDB-c235e2b9f0e0f3949e37b5ac3054f2ec,1341419.853,10.1021Ja060946u.Isotherm9,TRUE,1.351907662,
2907,2907,UHOVQNZJYSORNB-UHFFFAOYSA-N,NIST-MATDB-c235e2b9f0e0f3949e37b5ac3054f2ec,735692.4669,10.1021Ja060946u.Isotherm10,FALSE,3.955097268,The plot in the literature is very poor and plots several sets of experimental data with symbols on the same plot. There are more points than are given in the literature.
964,964,UHOVQNZJYSORNB-UHFFFAOYSA-N,NIST-MATDB-991daf7313251e7e607e2bab2da57e33,643100,10.1039c5cc02809d.Isotherm6,FALSE,3.41598532,"The initial slope is so high that it appears to be a vertical line. The literature recorded pressure in mbar, and even with units that small, the change in pressure is almost indistinguishable and the adsorption increases to almost saturation before the pressure noticeably changes. This could have been plotted incorrectly in NIST due to human error as the change in x for the first 7 points is almost, if not, indistinguishable to the human eye."
162,162,CURLTUGMZLYLDI-UHFFFAOYSA-N,NIST-MATDB-035dc75dddd00241bd76627f78cbef2d,568884.0367,10.1021Je800900a.Isotherm7,FALSE,18.32990161,"There is an error in unit conversion here. The literature uses units of mol/kg, but the algorithm thinks the data is in mol/g. The literature uses a logarithmic scale, and it seems as though there is a lot of error in plotting points for linear scales from logarithmic plots."
163,163,CURLTUGMZLYLDI-UHFFFAOYSA-N,NIST-MATDB-035dc75dddd00241bd76627f78cbef2d,535782.9782,10.1021Je800900a.Isotherm29,FALSE,17.25983563,"There is an error in unit conversion here. The literature uses units of mol/kg, but the algorithm thinks the data is in mol/g. There are more points than there are in the literature. The literature uses a logarithmic scale, and it seems as though there is significant error in plotting points for linear scales from logarithmic plots."
161,161,CURLTUGMZLYLDI-UHFFFAOYSA-N,NIST-MATDB-035dc75dddd00241bd76627f78cbef2d,456607.2077,10.1021Je800900a.Isotherm8,FALSE,14.70030121,"There is an error in unit conversion here. The literature uses units of mol/kg, but the algorithm thinks the data is in mol/g. There are more points than there are in the literature. The literature uses a logarithmic scale, and it seems as though there is significant error in plotting points for linear scales from logarithmic plots. NIST also has made the max apsorption point higher than anything recorded in the literature for CO2 and Zeolite 5A."
224,224,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-035dc75dddd00241bd76627f78cbef2d,338274.9469,10.1021Je800900a.Isotherm54,TRUE,0.215211499,"There are more points than there are in the literature. The literature uses a logarithmic scale, and it seems as though there is significant error in plotting points for linear scales from logarithmic plots."
2566,2566,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f,291388.0214,10.1021Je800900a.Isotherm64,TRUE,0.158772399,There are way more points than there are in the literature. The H2O saturated quickly and the data in the literature is recorded on a logarithmic scale which may have increased the human error by NIST.
3095,3095,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-16d2ea75949f753ebc0daffccae0ed52,273133.0682,10.1002anie.201506345.Isotherm6,TRUE,0.136798402,This is from the supporting data. The reason why there are 3 instances of negative slopes is because they plotted points that represented the desorption instead of only the adsorption points. Thus there are more points than there are in the literature and the plot is just incorrect.
2362,2362,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,NIST-MATDB-554de36b7f2f656529c27910955ec14f,228593.1321,10.1039C3cc48275h.Isotherm18,TRUE,0.059060187,There are fewer data points than there are in the literature. It looks like it was polotted incorrectly and plotted as the shape on the Pressure units(P/P_0) and then just pasted onto the scale of pressure units(mbar) which exhibits a different shape
2567,2567,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f,181172.9923,10.1021Je800900a.Isotherm63,TRUE,0.026103492,The experimental data has only 5 points. The initial slope is very fast and then the slope plateaus very shortly after. The original data uses a logarithmic pressure scale so there may be human error in plotting it on the linear plot as the early data points are at very low pressures.
2160,2160,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-dd648c6388274576eaa6f506d849b3f9,140992.9701,10.1021La302537d.Isotherm40,TRUE,0.022262322,This is simulated data. There is an incorrect unit conversion. The algorithm thinks that the adsorption units used in the literature is weight % when it is actually mmol/g. The pressure scale is incorrect. In the literature the pressure is measured in units of atm and there are points extending to 1.0 atm.
2161,2161,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-dd648c6388274576eaa6f506d849b3f9,138614.6536,10.1021La302537d.Isotherm39,TRUE,0.025125168,"This is from the supporting materials of the literature. There seems to be only a single experimental data point, and the curve plotted is a DSLF fit"
2366,2366,UHOVQNZJYSORNB-UHFFFAOYSA-N,NIST-MATDB-554de36b7f2f656529c27910955ec14f,131738.0613,10.1039C3cc48275h.Isotherm21,TRUE,0.438622902,There are fewer data points than there are in the literature. It looks like it was polotted incorrectly and plotted as the shape on the Pressure units(P/P_0) and then just pasted onto the scale of pressure units(mbar) which exhibits a different shape
2364,2364,XDTMQSROBMDMFD-UHFFFAOYSA-N,NIST-MATDB-554de36b7f2f656529c27910955ec14f,99193.38974,10.1039C3cc48275h.Isotherm23,TRUE,2.449470545,There are fewer data points than there are in the literature. It looks like it was polotted incorrectly and plotted as the shape on the Pressure units(P/P_0) and then just pasted onto the scale of pressure units(mbar) which exhibits a different shape. Cyclohexane is also not in the internal absorbent list
1447,1447,VXNZUUAINFGPBY-UHFFFAOYSA-N,NIST-MATDB-0d52b4312e8dd98a53fcfaba14cd0e82,94119.52166,10.1016S1004-9541(07)60095-0.Isotherm9,FALSE,3.859202273,The unit conversion is incorrect. The algorithm thinks the adsorption data is measured in weight % when it is actually measured in mmol/g. There is a huge error point in the NIST data that is just not present in the original literature.
1620,1620,YXFVVABEGXRONW-UHFFFAOYSA-N,NIST-MATDB-b2cbe7a27aa1570f2ff2c04b82289f25,89112.40515,10.1021la010232r.Isotherm6,TRUE,2.02015383,"This is simulated, predicted data. There is also an error in the conversion of the adsorption units. The algorithm thinks the adsorption in the data was measured in mmol/g when it was actually measured in mol/g"
2908,2908,YXFVVABEGXRONW-UHFFFAOYSA-N,NIST-MATDB-c235e2b9f0e0f3949e37b5ac3054f2ec,74805.10936,10.1021Ja060946u.Isotherm8,TRUE,1.5899606,"Adsorption units from literature measured in wt%, and pressure units measured in P/P_0, both of which could have been converted incorretly"
2602,2602,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,NIST-MATDB-e8a1a82c4fe2ad952d1c107156f780f2,69111.87563,10.1016j.micromeso.2012.02.027.isotherm7,TRUE,0.130732067,"It looks like the NIST plot for this is actually for the MOF MIL-100(Fe)_NF7. MIL-100(Fe) and MIL-100(Fe)_NF7 have almost identical trends except the latter curves upward instead of continuing a plateau at the end of the data. It appears that the data for MIL-100(Fe)_NF7 was recorded incorrectly under MIL-100(Fe). The Adsorption units from literature measured in wt%, and pressure units measured in P/P_0, both of which could have been converted incorretly"
1614,1614,UHOVQNZJYSORNB-UHFFFAOYSA-N,NIST-MATDB-b2cbe7a27aa1570f2ff2c04b82289f25,68677.51491,10.1021la010232r.Isotherm2,TRUE,0.071458108,"Benzene adsorption, low pressure isotherm"
2074,2074,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-f5e80ffaaaf05f4ed655664fd22defb9,60143.57138,10.1021Jp503778m.Isotherm7,TRUE,0.119583,"Water adsorption, non linear plot points on x axis"
3100,3100,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-29da3034f56a3f314e86df224086cae2,56018.54149,10.1002anie.201506345.Isotherm5,TRUE,0.124548413,Bad plot points completely off trend. Likely plotted desorption and adsorption
935,935,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-991daf7313251e7e607e2bab2da57e33,54038.82221,10.1016j.egypro.2009.01.166.Isotherm6,TRUE,0.126931457,water adsorption
1425,1425,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-9ee35322ac5ddba224d845a03c651b29,52550,10.1252Jcej.37.67.isotherm3,TRUE,0.128723594,water adsorption
225,225,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-035dc75dddd00241bd76627f78cbef2d,50328.59026,10.1021Je800900a.Isotherm53,TRUE,0.131397566,water adsorption
